2026-08-17T13:24:16+00:00,0, 0, 1, 24576, 24.61, 26
2026-08-17T13:24:21+00:00,0, 0, 1, 24576, 24.75, 26
2026-08-17T13:24:26+00:00,0, 0, 1, 24576, 24.62, 26
2026-08-17T13:24:31+00:00,0, 0, 1, 24576, 24.69, 26
2026-08-17T13:24:36+00:00,0, 0, 1, 24576, 24.86, 26
2026-08-17T13:24:41+00:00,0, 0, 1, 24576, 24.85, 26
2026-08-17T13:24:46+00:00,0, 0, 1, 24576, 24.78, 26
2026-08-17T13:24:51+00:00,0, 0, 1, 24576, 24.71, 26
2026-08-17T13:24:56+00:00,0, 0, 1, 24576, 24.72, 26
2026-08-17T13:25:01+00:00,0, 0, 1, 24576, 24.82, 26
2026-08-17T13:25:06+00:00,0, 0, 1, 24576, 24.76, 26
2026-08-17T13:25:11+00:00,0, 0, 1, 24576, 24.74, 26
2026-08-17T13:25:16+00:00,0, 0, 1, 24576, 24.75, 26
2026-08-17T13:25:21+00:00,0, 0, 1, 24576, 24.99, 26
2026-08-17T13:25:26+00:00,0, 0, 1, 24576, 24.92, 26
2026-08-17T13:25:31+00:00,0, 0, 1, 24576, 24.78, 26
2026-08-17T13:25:36+00:00,0, 0, 1, 24576, 24.85, 26
2026-08-17T13:25:41+00:00,0, 0, 1, 24576, 24.76, 26
2026-08-17T13:25:46+00:00,0, 0, 1, 24576, 24.78, 26
2026-08-17T13:25:51+00:00,0, 0, 1, 24576, 24.65, 26
2026-08-17T13:25:56+00:00,0, 0, 1, 24576, 24.67, 26
2026-08-17T13:26:02+00:00,0, 0, 1, 24576, 24.66, 26
2026-08-17T13:26:07+00:00,0, 0, 1, 24576, 24.68, 26
2026-08-17T13:26:12+00:00,0, 0, 1, 24576, 24.93, 26
2026-08-17T13:26:17+00:00,0, 0, 1, 24576, 24.79, 26
2026-08-17T13:26:22+00:00,0, 0, 1, 24576, 24.97, 26
2026-08-17T13:26:27+00:00,0, 0, 1, 24576, 24.90, 26
2026-08-17T13:26:32+00:00,0, 0, 1, 24576, 24.94, 26
2026-08-17T13:26:37+00:00,0, 0, 1, 24576, 24.89, 26
2026-08-17T13:26:42+00:00,0, 0, 1, 24576, 24.92, 26
2026-08-17T13:26:47+00:00,0, 0, 1, 24576, 24.85, 26
2026-08-17T13:26:52+00:00,0, 0, 1, 24576, 24.86, 26
2026-08-17T13:26:57+00:00,0, 0, 1, 24576, 24.74, 26
2026-08-17T13:27:02+00:00,0, 0, 1, 24576, 24.85, 26
2026-08-17T13:27:07+00:00,0, 0, 1, 24576, 24.87, 26
2026-08-17T13:27:12+00:00,0, 0, 1, 24576, 24.92, 26
2026-08-17T13:27:17+00:00,0, 0, 1, 24576, 24.90, 26
2026-08-17T13:27:22+00:00,0, 0, 1, 24576, 24.82, 26
2026-08-17T13:27:27+00:00,0, 0, 1, 24576, 24.94, 26
2026-08-17T13:27:32+00:00,0, 0, 1, 24576, 24.68, 26
2026-08-17T13:27:37+00:00,0, 0, 1, 24576, 24.84, 26
2026-08-17T13:27:42+00:00,0, 0, 1, 24576, 24.83, 26
2026-08-17T13:27:47+00:00,0, 0, 1, 24576, 24.78, 26
2026-08-17T13:27:52+00:00,0, 0, 1, 24576, 25.00, 26
2026-08-17T13:27:58+00:00,0, 0, 1, 24576, 24.80, 26
2026-08-17T13:28:03+00:00,0, 0, 1, 24576, 24.97, 26
2026-08-17T13:28:08+00:00,0, 0, 1, 24576, 24.81, 26
2026-08-17T13:28:13+00:00,0, 0, 1, 24576, 24.92, 26
2026-08-17T13:28:18+00:00,0, 0, 1, 24576, 24.99, 26
2026-08-17T13:28:23+00:00,0, 0, 1, 24576, 24.93, 26
2026-08-17T13:28:28+00:00,0, 0, 1, 24576, 24.92, 26
2026-08-17T13:28:33+00:00,0, 0, 1, 24576, 24.98, 27
2026-08-17T13:28:38+00:00,0, 0, 1, 24576, 24.94, 27
2026-08-17T13:28:43+00:00,0, 0, 1, 24576, 24.97, 27
2026-08-17T13:28:48+00:00,0, 0, 1, 24576, 24.91, 27
2026-08-17T13:28:53+00:00,0, 0, 1, 24576, 24.66, 27
2026-08-17T13:28:58+00:00,0, 0, 1, 24576, 24.87, 27
2026-08-17T13:29:03+00:00,0, 0, 1, 24576, 24.98, 27
2026-08-17T13:29:08+00:00,0, 0, 1, 24576, 24.75, 27
2026-08-17T13:29:13+00:00,0, 0, 1, 24576, 24.88, 27
2026-08-17T13:29:18+00:00,0, 0, 1, 24576, 24.98, 27
2026-08-17T13:29:23+00:00,0, 0, 1, 24576, 24.78, 27
2026-08-17T13:29:28+00:00,0, 0, 1, 24576, 24.81, 27
2026-08-17T13:29:33+00:00,0, 0, 1, 24576, 24.81, 27
2026-08-17T13:29:38+00:00,0, 0, 1, 24576, 24.83, 27
2026-08-17T13:29:43+00:00,0, 0, 1, 24576, 24.79, 27
2026-08-17T13:29:48+00:00,0, 0, 1, 24576, 24.78, 27
2026-08-17T13:29:53+00:00,0, 0, 1, 24576, 24.80, 27
2026-08-17T13:29:59+00:00,0, 0, 1, 24576, 24.93, 27
2026-08-17T13:30:04+00:00,0, 0, 2, 24576, 24.93, 27
2026-08-17T13:30:09+00:00,0, 0, 1, 24576, 83.86, 30
2026-08-17T13:30:14+00:00,0, 0, 1, 24576, 24.80, 28
2026-08-17T13:30:19+00:00,0, 0, 1, 24576, 24.94, 28
2026-08-17T13:30:24+00:00,0, 0, 1, 24576, 24.86, 28
2026-08-17T13:30:29+00:00,0, 0, 1, 24576, 24.84, 28
2026-08-17T13:30:34+00:00,0, 0, 1, 24576, 24.80, 28
2026-08-17T13:30:39+00:00,0, 0, 1, 24576, 24.91, 28
2026-08-17T13:30:44+00:00,0, 0, 1, 24576, 24.92, 28
2026-08-17T13:30:49+00:00,0, 0, 1, 24576, 24.85, 28
2026-08-17T13:30:54+00:00,0, 0, 1, 24576, 24.86, 28
2026-08-17T13:30:59+00:00,0, 0, 1, 24576, 24.96, 28
2026-08-17T13:31:04+00:00,0, 0, 1, 24576, 24.84, 28
2026-08-17T13:31:09+00:00,0, 0, 1, 24576, 24.93, 28
2026-08-17T13:31:14+00:00,0, 0, 1, 24576, 24.87, 28
2026-08-17T13:31:19+00:00,0, 0, 1, 24576, 24.92, 28
